"","AGE","HOMPOP","BABIES","PRETEEN","TEENS","ADULTS","REGION","NATCRIME","NATMASS","TRUST","FEAR","YEAR","race_white","race_black","race_other","female","has_kids","total_kids"
"1",44.9508706467662,3.50898946063236,0.38189708617483,0.466831990080595,0.411655300681959,2.24860508369498,"Total",NA,NA,-0.427050720100188,NA,1972,0.835709857408556,0.161810291382517,0.00247985120892746,0.499690018598884,0.526968381897086,1.26038437693738
"2",42.4191419141914,3.54098360655738,0.413114754098361,0.416393442622951,0.360655737704918,2.32459016393443,"East North Central",NA,NA,-0.398671096345515,NA,1972,0.839344262295082,0.160655737704918,0,0.491803278688525,0.511475409836066,1.19016393442623
"3",46.3214285714286,3.50253807106599,0.33502538071066,0.472081218274112,0.472081218274112,2.22335025380711,"West South Central",NA,NA,-0.316326530612245,NA,1972,0.705583756345178,0.294416243654822,0,0.517766497461929,0.548223350253807,1.27918781725888
"4",45.9404761904762,3.38095238095238,0.44047619047619,0.416666666666667,0.357142857142857,2.16666666666667,"East South Atlantic",NA,NA,-0.30952380952381,NA,1972,0.714285714285714,0.285714285714286,0,0.5,0.488095238095238,1.21428571428571
"5",48.6595744680851,3.47517730496454,0.361702127659574,0.531914893617021,0.446808510638298,2.13475177304965,"West North Central",NA,NA,-0.607142857142857,NA,1972,0.985815602836879,0,0.0141843971631206,0.49645390070922,0.49645390070922,1.34042553191489
"6",41.2111111111111,3.74444444444444,0.5,0.555555555555556,0.333333333333333,2.35555555555556,"New England",NA,NA,-0.522222222222222,NA,1972,0.988888888888889,0.0111111111111111,0,0.5,0.588888888888889,1.38888888888889
"7",44.3080357142857,3.55357142857143,0.424107142857143,0.482142857142857,0.397321428571429,2.25,"Pacific",NA,NA,-0.443438914027149,NA,1972,0.892857142857143,0.102678571428571,0.00446428571428571,0.495535714285714,0.504464285714286,1.30357142857143
"8",48.0321100917431,3.24311926605505,0.252293577981651,0.426605504587156,0.422018348623853,2.17889908256881,"South Atlantic",NA,NA,-0.384976525821596,NA,1972,0.651376146788991,0.344036697247706,0.00458715596330275,0.518348623853211,0.463302752293578,1.10091743119266
"9",44.1824324324324,3.65436241610738,0.37248322147651,0.486577181208054,0.473154362416107,2.32214765100671,"Middle Atlantic",NA,NA,-0.445945945945946,NA,1972,0.895973154362416,0.104026845637584,0,0.48993288590604,0.597315436241611,1.33221476510067
"10",43.6785714285714,3.33928571428571,0.535714285714286,0.482142857142857,0.285714285714286,2.03571428571429,"Mountain",NA,NA,-0.535714285714286,NA,1972,1,0,0,0.482142857142857,0.535714285714286,1.30357142857143
"11",44.182,3.33532934131737,0.350398936170213,0.453457446808511,0.341755319148936,2.18683510638298,"Total",-0.638434163701068,NA,-0.430953969312875,0.410618279569892,1973,0.86968085106383,0.121675531914894,0.0086436170212766,0.533909574468085,0.501994680851064,1.14561170212766
"12",44.8222891566265,3.32732732732733,0.33033033033033,0.474474474474474,0.351351351351351,2.16516516516517,"East North Central",-0.660194174757282,NA,-0.478787878787879,0.409090909090909,1973,0.885885885885886,0.114114114114114,0,0.534534534534535,0.48048048048048,1.15615615615616
"13",43.3432835820896,3.48134328358209,0.388059701492537,0.507462686567164,0.287313432835821,2.29850746268657,"Middle Atlantic",-0.726907630522088,NA,-0.423220973782772,0.477272727272727,1973,0.861940298507463,0.123134328358209,0.0149253731343284,0.537313432835821,0.503731343283582,1.18283582089552
"14",43,3.25423728813559,0.542372881355932,0.525423728813559,0.203389830508475,1.98305084745763,"Mountain",-0.62962962962963,NA,-0.491525423728814,0.421052631578947,1973,0.915254237288136,0.0677966101694915,0.0169491525423729,0.508474576271186,0.525423728813559,1.27118644067797
"15",44.4219858156028,3.28521126760563,0.327464788732394,0.411971830985915,0.369718309859155,2.16901408450704,"South Atlantic",-0.6,NA,-0.363957597173145,0.360424028268551,1973,0.827464788732394,0.169014084507042,0.00352112676056338,0.524647887323944,0.5,1.10915492957746
"16",43.6666666666667,3.36,0.4,0.466666666666667,0.293333333333333,2.2,"New England",-0.661971830985915,NA,-0.386666666666667,0.459459459459459,1973,0.84,0.146666666666667,0.0133333333333333,0.56,0.48,1.16
"17",47.968085106383,3.42105263157895,0.273684210526316,0.484210526315789,0.431578947368421,2.2,"West North Central",-0.617021276595745,NA,-0.6,0.368421052631579,1973,0.852631578947368,0.136842105263158,0.0105263157894737,0.526315789473684,0.505263157894737,1.18947368421053
"18",40.2561983471074,3.6,0.429752066115702,0.56198347107438,0.40495867768595,2.22314049586777,"West South Central",-0.651785714285714,NA,-0.462809917355372,0.466666666666667,1973,0.884297520661157,0.0909090909090909,0.0247933884297521,0.570247933884298,0.619834710743802,1.39669421487603
"19",43.7319587628866,3.08762886597938,0.319587628865979,0.309278350515464,0.304123711340206,2.15463917525773,"Pacific",-0.513661202185792,NA,-0.376288659793814,0.37696335078534,1973,0.922680412371134,0.0670103092783505,0.0103092783505155,0.520618556701031,0.474226804123711,0.93298969072165
"20",47.64,3.18666666666667,0.24,0.413333333333333,0.426666666666667,2.10666666666667,"East South Atlantic",-0.691176470588235,NA,-0.373333333333333,0.364864864864865,1973,0.84,0.16,0,0.533333333333333,0.48,1.08
"21",44.5913396481732,3.34210526315789,0.346828609986505,0.454790823211876,0.392712550607287,2.14642375168691,"Total",-0.651245551601424,NA,NA,0.450407608695652,1974,0.878706199460916,0.116576819407008,0.00471698113207547,0.534366576819407,0.507412398921833,0.792452830188679
